GeoType,GEOID,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,exp,expOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,president,presidentOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,citizens,citizensOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose,priority,priorityOppose
National,9999,US,251268391,71.827,14.459,56.54,30.367,57.303,23.389,64.469,7.183,65.228,34.314,71.335,19.21,70.64,19.184,67.893,20.765,64.452,26.617,46.77,44.56,59.197,40.359,45.778,53.512,76.943,20.985,71.868,25.563,65.779,33.302,65.831,32.352,64.326,34.187,77.404,20.365,29.839,68.704,48.89,49.478,77.456,21.979,69.912,11.077,52.495,26.677,61.187,21.938,56.56,17.557,58.752,16.373,64.899,11.981,35.447,64.041,32.722,65.987,55.257,23.707
State,1,Alabama,3779877,63.291,17.818,49.35,36.64,47.468,26.865,53.64,8.653,57.555,42.345,62.967,23.185,61.855,23.795,61.125,24.395,57.374,30.442,40.623,47.664,52.176,47.824,38.02,61.126,72.195,26.033,67.147,30.456,59.434,39.972,60.923,36.501,57.439,42.056,74.698,23.258,34.69,63.626,61.394,36.878,73.858,26.035,64.323,12.14,45.927,31.626,54.046,26.504,52.885,18.306,54.742,16.873,59.194,13.723,27.3,72.726,25.779,73.339,47.646,29.602
State,2,Alaska,552673,70.188,17.444,53.277,33.621,56.628,26.673,62.254,7.558,63.234,36.563,71.375,21.908,69.202,22.228,67.506,23.561,63.099,30.039,43.2,49.577,56.102,43.898,41.39,57.274,76.889,21.068,69.143,28.313,61.738,37.568,63.349,34.374,58.291,40.42,77.64,20.194,29.699,68.77,48.399,50.435,76.014,23.882,68.999,10.717,48.096,32.17,57.283,26.207,49.134,20.008,55.131,17.868,63.117,11.01,39.192,59.98,35.095,63.939,50.147,27.587
State,4,Arizona,5414955,72.246,15.191,56.428,30.939,57.135,24.56,64.224,7.578,65.733,34.264,70.234,20.205,69.209,20.444,67.539,21.605,65.219,27.115,47.802,44.501,58.343,41.657,46.519,53.392,76.866,21.141,71.21,26.77,64.699,34.8,62.906,34.452,63.837,35.114,76.897,21.195,33.418,65.079,52.8,45.077,77.132,22.854,69.091,11.214,51.5,28.109,60.166,23.652,55.131,17.971,57.356,17.5,63.935,12.103,37.305,62.536,35.705,63.332,55.122,26.676
State,5,Arkansas,2295104,66.366,18.109,51.238,35.455,48.541,27.555,55.891,8.619,59.382,40.523,66.879,22.437,65.584,22.672,63.907,24.238,59.569,30.27,40.614,48.492,53.008,46.992,38.579,60.084,72.457,25.698,67.113,29.99,61.387,38.089,62.73,34.906,59.711,39.241,73.967,23.233,33.624,64.056,55.773,41.699,74.951,24.553,66.064,11.812,47.695,33.444,56.36,27.164,53.158,18.019,54.652,17.396,60.609,13.029,29.337,70.436,26.537,72.519,47.375,29.015
State,6,California,30261354,77.466,10.708,63.349,25.064,63.498,19.547,70.137,5.759,72.696,27.195,77.31,14.498,76.511,14.8,74.256,16.033,70.941,21.472,54.317,38.341,65.554,34.446,53.363,46.232,79.019,18.983,74.122,23.518,70.871,28.714,71.065,27.816,68.414,30.325,79.744,18.224,26.211,72.202,39.442,59.169,81.154,18.804,73.172,10.685,58.158,23.047,65.822,19.832,56.784,20.279,61.893,16.243,69.011,10.978,42.648,57.208,37.013,61.839,63.704,19.064
State,8,Colorado,4349342,72.559,15.078,57.099,29.889,59.6,24.553,67.089,7.324,65.978,34.12,72.279,20.629,71.723,19.642,69.033,21.913,65.601,28.319,46.403,47.107,59.627,40.373,46.596,53.556,78.251,20.477,71.711,26.801,66.34,33.332,62.765,34.874,64.154,35.49,78.602,20.132,28.441,71.408,42.387,57.359,76.908,23.315,71.084,10.827,51.557,28.304,61.314,24.465,53.56,20.268,57.073,18.154,66.505,11.738,40.046,60.014,39.058,60.142,55.451,26.241
State,9,Connecticut,2831244,75.022,12.124,61.114,26.744,63.104,20.474,69.903,6.252,69.661,30.29,76.584,15.985,76.542,15.708,72.093,18.427,67.746,24.549,48.296,44.454,61.73,38.27,48.61,50.948,80.758,17.954,75.647,22.215,71.495,27.958,70.763,28.421,70.025,29.154,80.341,17.892,28.263,71.285,47.516,51.12,80.425,19.315,73.773,10.01,56.66,21.506,65.701,17.682,59.494,14.69,59.807,14.795,68.454,10.174,38.317,61.617,35.427,63.991,58.645,19.602
State,10,Delaware,753562,72.564,13.94,55.873,30.321,58.748,22.619,66.673,7.484,64.415,35.89,70.364,20.718,70.727,19.405,69.197,20.879,65.449,26.697,48.623,42.919,62.012,37.988,49.64,51.183,77.127,21.979,72.617,26.433,65.825,34.02,64.141,35.207,65.54,34.29,77.335,21.3,31.322,68.945,49.811,50.804,77.158,22.874,69.501,12.544,53.318,26.475,62.179,22.48,58.872,19.053,61.258,17.403,65.18,14.997,34.103,66.364,34.478,64.799,57.857,22.316
State,11,District of Columbia,568752,83.326,7.351,64.687,24.18,72.747,16.178,79.673,4.591,76.007,24.099,81.834,12.216,80.936,11.564,80.896,12.98,75.508,18.343,58.868,34.661,73.747,26.252,60.776,40.116,84.559,14.292,79.774,19.031,75.119,24.535,73.21,25.872,71.444,27.94,83.02,15.87,20.405,79.455,32.019,69.096,85.54,14.522,78.568,8.4,63.883,17.68,74.155,14.301,67.27,13.104,70.294,13.008,74.519,9.524,45.492,54.768,41.654,57.42,70.56,13.307
